Name,Email,Phone,Address,City,Country,Amount,Product
Clark,ac@ullamcorpermagna.com,056 4359 4961,2004 Mi Avenue,Gjoa Haven,"Korea, North",$63.86,salads
Carly,arcu.Sed.eu@aliquetdiamSed.edu,055 1404 3420,4489 Ut Rd.,Ostra Vetere,Comoros,$16.45,desserts
Craig,Nunc.laoreet.lectus@tellusfaucibusleo.net,(010714) 75033,Ap #358-8901 Ac Ave,Nakusp,Argentina,$12.20,salads
Caryn,eleifend.egestas.Sed@non.net,0500 234884,Ap #263-2320 Netus Avenue,Draguignan,American Samoa,$75.39,salads
Fuller,dictum.magna.Ut@aliquam.com,(0141) 705 4029,1415 Mollis. Street,Annapolis Royal,Namibia,$10.08,soups
Fiona,Integer.mollis.Integer@estNuncullamcorper.net,0845 46 42,Ap #673-538 In Street,Neeroeteren,Colombia,$38.58,noodles
Brock,augue@velitQuisquevarius.edu,07680 656914,"P.O. Box 609, 8845 Dis Street",Tocopilla,South Sudan,$11.63,cereals
Hedwig,sed.dui@Pellentesque.com,(016977) 8018,"P.O. Box 469, 4904 Consequat Rd.",Burntisland,Mali,$93.03,noodles
Odette,diam.Pellentesque.habitant@eleifendnon.com,056 1808 8825,Ap #919-9839 Convallis Rd.,Oaxaca,Samoa,$61.62,cereals
Kibo,pede@diam.edu,055 8184 1027,847-1777 Neque Rd.,Dornoch,Honduras,$37.01,pies
Amela,luctus.et.ultrices@rhoncusProin.net,(0115) 803 9204,"P.O. Box 906, 9405 Mi Rd.",Pickering,"Bonaire, Sint Eustatius and Saba",$60.49,soups
Kylynn,enim.condimentum@dolorFusce.org,0328 796 1295,6034 Vitae Av.,Vernon,American Samoa,$61.31,sandwiches
Cheyenne,Phasellus@ultrices.com,(0118) 665 2769,"P.O. Box 895, 4405 Mi, St.",Norfolk County,Sao Tome and Principe,$47.42,soups
Mason,neque.In.ornare@felisNulla.net,(01544) 037430,"P.O. Box 520, 385 Lacus. St.",Palestrina,Costa Rica,$87.22,salads
